104000100;Right Around Lith Harbor;27;2;7.259259259;310;Medium-Dense;Easy;Basic map for those who skipped Maple Island (which you shouldn't because Relaxer) ;;0
104000200;Thicket Around the Beach I ;34;2;10.58823529;472;Thin-Medium;Moderate;Terrible layout ;;0
104000300;Thicket Around the Beach II;31;2;11.87096774;600;Medium-Dense;Moderate ;Pit of death concentrates 7-9 spawns, making it a good grinding spot;;0
104000400;Thicket Around the Beach III;21;2;11.42857143;488;Medium;Easy-Moderate;Mano (240 exp) also spawns here, and isn't something a level 10 can hit. Otherwise the spawn is thin-ish.;;240
100050000;The Field South of Ellinia;58;4;21.72;688;Thin-Medium;Decent difficulty;;;0
100040001;Dungeon, Southern Forest I;21;6;20;680;Medium;Difficult;;;0
100040002;Dungeon, Southern Forest II;23;6;20;660;Medium;Difficult;;;0
100040100;The Forest of Wisdom;40;6;20;660;Thin-Medium;Extremely Difficult;;Spawn More;0
101010000;The Field Up North of Ellinia;35;6;19.09;816;Thin-Medium;Difficult;;;0
101010100;The Tree That Grew I;30;6;19.33;732;Thin-Medium;Decent difficulty;;;0
101010101;The Tree That Grew II;64;6;22.75;1136;Medium;Decent difficulty;;;0
101020000;The Forest North of Ellinia;61;6;25.51;628;Thin;Extremely difficult;;Spawn way more;0
101020002;Tree Dungeon, Forest Up North I;26;6;20;740;Thin-Medium;Difficult;;Spawn abit more;0
102050000;Sunset Sky;33;6;20.67;840;Medium;Moderate;Pretty good map actually. Players can almost level once per minute which is quite fast. Not a lot of platforms to disrupt training either. Decent mobbing potential as well.;This map could be used to guide other map balancing.;0
103020000;L Forest I;32;7;25.33;888;Thin - Medium;Difficult;Very spread map with distinct packs. The best area to train is the pig area in the top left corner. Requires a difficult jump but continuous mobs keep it a good training spot.;;0
104010000;3-Way Road-Split ;57;7;27.05263158;900;Thin-Medium;Moderate-Medium;Huge map, okay-ish spawn in some platforms;;0
101020003;Tree Dungeon, Forest Up North II;17;10;36;936;Thin;Difficult;;Spawn abit more;0
104010001;The Pig Beach;22;10;42.63636364;1288;Thin-Medium;Medium;One "Iron Hook" (sic) (198 exp) brings the mean exp up by a lot, otherwise this place is actually no better than 3-Way Road-Split;;0
104010002;Beach Hunting Ground;18;10;35.55555556;1180;Medium ;Moderate-Medium;This place is actually better than Pig Beach if you factor in the "Iron Hook" (sic), though that requires you to travel between and clear 2 pits efficiently;;0
101020004;Tree Dungeon, Forest Up North III;21;12;48;2064;Medium-Dense;Decent;;;0
102040000;Construction Site North of Kerning;49;12;31.3;1300;Medium;Moderate - Medium;Very good training spot when fighting octopus in Henesys Hunting Ground style. Incredible exp. Great for single target.;;0
103010000;Kerning City Construction Site;51;12;27;1400;Medium;Moderate - Medium;Good training spot in the top left corner - Henesys Hunting Ground style. Similar to 102040000 map. Slightly better cluster allows for better training.;;0
103020100;L Forest II;49;12;33;1800;Medium;Difficult;Better version of L Forest I with Ribbon Pigs. Requires difficult jump to maximize training.;This map is lowkey really good.;0
103020200;L Forest III;49;12;33;1140;Thin - Medium;Difficult;Not a good map. Difficult to maneuver two pits for Ribbon pigs.;;0
103030000;Kerning City Middle Forest I;36;12;44.6;1500;Thin - Medium;Medium;Rather thin map with green mushroom spawn. Strange maneuvering required to train in this map.;;0
100040003;Dungeon, Southern Forest III;22;15;52;1664;Medium;Difficult;;;0
100040004;Dungeon, Southern Forest IV;19;15;52;1664;Medium;Difficult;;;0
101010102;The Tree That Grew III;43;15;43.81;1648;Thin-Medium;Decent difficulty;;;0
101020005;Tree Dungeon, Forest Up North IV;22;15;52;2060;Thin-Medium;Decent;;;0
101020006;Tree Dungeon, Forest Up North V;21;15;52;1716;Medium;Decent;;;0
103000101;Line 1 <Area 1>;64;15;50;2350;Medium - Dense;Difficult;Great map for training, however bubblings are notoriously difficult to train on for non-mages.;;0
103030100;Kerning City Middle Forest II;33;15;50;1650;Thin - Medium;Medium;Center trapezoid makes training a little easier, but ultimately not a good training spot due to large spread.;;0
101020007;Tree Dungeon, Forest Up North VI;12;17;60;1800;Thin;Difficult;;;0
103010001;Caution Falling Down;10;18;48;1400;Thin - Medium;Moderate - Medium;Henesys Hunting Ground style with bubblings and octopus. Good training spot but slightly less mobs than I'd hope for. Becuase of bubblings, manages to be a more difficult map but the rewards aren't worth the upgrade in monster.;Would be good if spawn rate + density were increased.;0
103000102;Transfer Area;38;20;64;1984;Medium;Difficult;Stirge are way to difficult to train on with anything non-mage. Low spawn rate + mediocre exp per mob makes this area terrible for training.;;0
101020008;Tree Dungeon, Forest Up North VIII;19;22;70;2520;Medium;Difficult;;;0
103030200;Kerning City Middle Forest III;38;22;66;2448;Thin - Medium;Medium;A bit of walking required to match spawn rate. Manuevering between two trapezoids. Difficult training spot with a lack of exp rewarded.;;0
200080200;Orbis Tower 20th Floor;23;23;80;2400;Thin-Medium ;Medium ;Decent spawn for single target only characters. Characters with mobbing skills should consider elsewhere ;;0
200080300;Orbis Tower 19th Floor;19;23;80;2720;Medium ;Medium ;Slightly better spawn with one platform housing 6 Jr. Sentinels, otherwise, same as 20th floor ;;0
200080400;Orbis Tower 18th Floor;17;23;80;2640;Thin-Medium ;Moderate ;Same as 19th floor, but with noticeably fewer monsters ;;0
200080500;Orbis Tower 17th Floor ;16;23;87;3880;Thin ;Moderate;Worse spawn in exchange for slightly better exp per kill;Middle platform can be used to concentrate spawns for better mobbing;0
200080600;Orbis Tower 16th Floor;21;23;86.66666667;4716;Medium;Moderate;Has 2 closely placed platforms each with 5 spawns, makes for a decent mobbing space for 1 or 2 people;;0
101020009;Tree Dungeon, Forest Up North IX;21;27;100;4000;Medium;Difficult;;;0
106020100;Secluded Mushroom Forest;18;30;126;4166;Moderate;Medium;Not incredibly good spawn, however can be maximized by covering multiple platforms.;;0
106020200;Isolated Mushroom Forest;12;30;126;3784;Moderate;Medium;Not good spawn. Difficult to reach platforms for mobbing.;;0
106020400;Split Road of Destiny;14;30;130;4680;Moderate;Medium;Good spawn and ability to catch mobs in a group.;;0
200080700;Orbis Tower 15th Floor;18;30;108;4752;Medium;Medium ;Same as 16th floor but with only Sentinels, the best platforms are farther and one platform has 1 less spawn ;;0
